Number of cells in the frame (Cage Size),Sum,Number of Combinations,Possible Combinations
2,3,1,1-2
2,4,1,1-3
2,5,2,"1-4, 2-3"
2,6,2,"1-5, 2-4"
2,7,3,"1-6, 2-5, 3-4"
2,8,3,"1-7, 2-6, 3-5"
2,9,4,"1-8, 2-7, 3-6, 4-5"
2,10,4,"1-9, 2-8, 3-7, 4-6"
2,11,4,"2-9, 3-8, 4-7, 5-6"
2,12,3,"3-9, 4-8, 5-7"
2,13,3,"4-9, 5-8, 6-7"
2,14,2,"5-9, 6-8"
2,15,2,"6-9, 7-8"
2,16,1,7-9
2,17,1,8-9
3,6,1,1-2-3
3,7,1,1-2-4
3,8,2,"1-2-5, 1-3-4"
3,9,3,"1-2-6, 1-3-5, 2-3-4"
3,10,4,"1-2-7, 1-3-6, 1-4-5, 2-3-5"
3,11,5,"1-2-8, 1-3-7, 1-4-6, 2-3-6, 2-4-5"
3,12,7,"1-2-9, 1-3-8, 1-4-7, 1-5-6, 2-3-7, 2-4-6, 3-4-5"
3,13,7,"1-3-9, 1-4-8, 1-5-7, 2-3-8, 2-4-7, 2-5-6, 3-4-6"
3,14,8,"1-4-9, 1-5-8, 1-6-7, 2-3-9, 2-4-8, 2-5-7, 3-4-7, 3-5-6"
3,15,8,"1-5-9, 1-6-8, 2-4-9, 2-5-8, 2-6-7, 3-4-8, 3-5-7, 4-5-6"
3,16,8,"1-6-9, 1-7-8, 2-5-9, 2-6-8, 3-4-9, 3-5-8, 3-6-7, 4-5-7"
3,17,7,"1-7-9, 2-6-9, 2-7-8, 3-5-9, 3-6-8, 4-5-8, 4-6-7"
3,18,7,"1-8-9, 2-7-9, 3-6-9, 3-7-8, 4-5-9, 4-6-8, 5-6-7"
3,19,5,"2-8-9, 3-7-9, 4-6-9, 4-7-8, 5-6-8"
3,20,4,"3-8-9, 4-7-9, 5-6-9, 5-7-8"
3,21,3,"4-8-9, 5-7-9, 6-7-8"
3,22,2,"5-8-9, 6-7-9"
3,23,1,6-8-9
3,24,1,7-8-9
4,10,1,1-2-3-4
4,11,1,1-2-3-5
4,12,2,"1-2-3-6, 1-2-4-5"
4,13,3,"1-2-3-7, 1-2-4-6, 1-3-4-5"
4,14,5,"1-2-3-8, 1-2-4-7, 1-2-5-6, 1-3-4-6, 2-3-4-5"
4,15,6,"1-2-3-9, 1-2-4-8, 1-2-5-7, 1-3-4-7, 1-3-5-6, 2-3-4-6"
4,16,8,"1-2-4-9, 1-2-5-8, 1-2-6-7, 1-3-4-8, 1-3-5-7, 1-4-5-6, 2-3-4-7, 2-3-5-6"
4,17,9,"1-2-5-9, 1-2-6-8, 1-3-4-9, 1-3-5-8, 1-3-6-7, 1-4-5-7, 2-3-4-8, 2-3-5-7, 2-4-5-6"
4,18,11,"1-2-6-9, 1-2-7-8, 1-3-5-9, 1-3-6-8, 1-4-5-8, 1-4-6-7, 2-3-4-9, 2-3-5-8, 2-3-6-7, 2-4-5-7, 3-4-5-6"
4,19,11,"1-2-7-9, 1-3-6-9, 1-3-7-8, 1-4-5-9, 1-4-6-8, 1-5-6-7, 2-3-5-9, 2-3-6-8, 2-4-5-8, 2-4-6-7, 3-4-5-7"
4,20,12,"1-2-8-9, 1-3-7-9, 1-4-6-9, 1-4-7-8, 1-5-6-8, 2-3-6-9, 2-3-7-8, 2-4-5-9, 2-4-6-8, 2-5-6-7, 3-4-5-8, 3-4-6-7"
4,21,11,"1-3-8-9, 1-4-7-9, 1-5-6-9, 1-5-7-8, 2-3-7-9, 2-4-6-9, 2-4-7-8, 2-5-6-8, 3-4-5-9, 3-4-6-8, 3-5-6-7"
4,22,11,"1-4-8-9, 1-5-7-9, 1-6-7-8, 2-3-8-9, 2-4-7-9, 2-5-6-9, 2-5-7-8, 3-4-6-9, 3-4-7-8, 3-5-6-8, 4-5-6-7"
